,ts,ne,mf,score,mae,time
2185,0.4,0,log2,-0.5082049544721567,0.05873933634257357,0.09352850005961955
2186,0.4,0,,-0.42908814851830357,0.057626034489420636,0.24604590004310012
2187,0.4,1,sqrt,-0.05437864318904451,0.05078735762616967,0.10728750005364418
2188,0.4,1,log2,-0.04853831184476509,0.050992084208404266,0.11009510001167655
2189,0.4,1,,-0.02525859903461547,0.05061040720330347,0.2770724999718368
2190,0.4,2,sqrt,0.16150389795795184,0.04608173883059922,0.13044729991815984
2191,0.4,2,log2,0.15867811280914135,0.045900539701471926,0.17318549985066056
2192,0.4,2,,0.1644292361187658,0.04611154137375164,0.3868286998476833
2193,0.4,3,sqrt,0.25670845885550386,0.04270417637348357,0.2909757001325488
2194,0.4,3,log2,0.26486527888605593,0.04281973190729692,0.3310251999646425
2195,0.4,3,,0.24619785734840371,0.043044782917399584,0.8764190000947565
2196,0.4,4,sqrt,0.315515211306005,0.04060726722027973,0.550325500080362
2197,0.4,4,log2,0.31650974559946043,0.04033996132779663,0.4943107001017779
2198,0.4,4,,0.28646423235788965,0.04158892448058299,1.7106612999923527
2199,0.4,5,sqrt,0.3340605926683792,0.039355652680085694,1.2119756999891251
2200,0.4,5,log2,0.3307632255898689,0.039287759941926695,1.1375671001151204
2201,0.4,5,,0.3135649405224805,0.040040043039903134,3.203134600073099
2202,0.4,6,sqrt,0.33895697498645916,0.03847812956916602,2.065195499919355
2203,0.4,6,log2,0.34664287437694663,0.038423226254066384,2.0116663998924196
2204,0.4,6,,0.32594657003296057,0.03916347695782889,6.672823400003836
2205,0.4,7,sqrt,0.34390557856796866,0.037990454262616706,4.074873400153592
2206,0.4,7,log2,0.3472098483454493,0.037971290128783516,4.085035199997947
2207,0.4,7,,0.33835016017227926,0.0385408288569466,12.94256650004536
2208,0.1,0,sqrt,-0.4096133516278293,0.05234225366993194,0.13017040002159774
2209,0.1,0,log2,-0.36042817196087085,0.052004565349887885,0.11121080000884831
2210,0.1,0,,-0.4105341961215603,0.053267810575183525,0.33288299990817904
2211,0.1,1,sqrt,0.017516930281812337,0.04531739702407815,0.17737819999456406
2212,0.1,1,log2,-0.005038086360533711,0.047909415466978474,0.13552940008230507
2213,0.1,1,,-0.025131969153564526,0.048307550106371264,0.39930719998665154
2214,0.1,2,sqrt,0.16311056718438322,0.04388737240117329,0.20947910007089376
2215,0.1,2,log2,0.18588057254665669,0.04273655621392998,0.19675990007817745
2216,0.1,2,,0.19425851012047246,0.04335277001843714,0.5452932000625879
2217,0.1,3,sqrt,0.26759673528499495,0.040038378380480515,0.4636121999938041
2218,0.1,3,log2,0.24866237165344773,0.041012056905621326,0.5433630000334233
2219,0.1,3,,0.23935133120923913,0.04114301859355661,1.4742788998410106
2220,0.1,4,sqrt,0.32432426538318304,0.03788559740832523,0.6864428000990301
2221,0.1,4,log2,0.3232884521384355,0.037857463874195335,0.7255398000124842
2222,0.1,4,,0.2978476978600003,0.038568380785268676,2.512790699955076
2223,0.1,5,sqrt,0.3505032721957825,0.03655533930116945,1.4633345999754965
2224,0.1,5,log2,0.3503739676124743,0.0363984745144963,1.3829324000980705
2225,0.1,5,,0.32221423146886696,0.03757479553169204,4.701706300023943
2226,0.1,6,sqrt,0.3701700662248074,0.03542997507827139,3.072322899941355
2227,0.1,6,log2,0.36158364194973625,0.03531912114741657,2.9061971998307854
2228,0.1,6,,0.3380047215664791,0.03642444728476597,9.588281699921936
2229,0.1,7,sqrt,0.3734412862037164,0.0352307790670325,5.804352500010282
2230,0.1,7,log2,0.3645990251385055,0.03519139389056429,5.81142279994674
2231,0.1,7,,0.343472302957872,0.03630592310438692,19.45575199997984
2232,0.2,0,sqrt,-0.48799777973853287,0.055702730386785526,0.1050303999800235
2233,0.2,0,log2,-0.4813877804047677,0.05440843356301287,0.09544710000045598
2234,0.2,0,,-0.44198469684240727,0.055177162746700904,0.2824599000159651
2235,0.2,1,sqrt,-0.008034983958756348,0.04761741802044238,0.15408540004864335
2236,0.2,1,log2,-0.04292653325279083,0.04894620120452473,0.16510319989174604
