,model,mse,rmse,mae,r2,mape,time
103,Bagging,14184189.176110843,3766.1902734873665,2049.930981875,0.9006367136410782,3627901419951091.5,1.9494396999944001
104,Boosting,11314559.138632348,3363.712106978293,2098.8296311135814,0.9207390873205246,1.164631359354355e+18,7.229213299928233
105,Random Forest,13785832.102997953,3712.9276996728545,2076.5654972552093,0.9034272903485211,6755386188275591.0,17.511056400020607
106,XGBoost,15761322.799606455,3970.0532489636025,2350.865579841682,0.8895885544610237,5.576995424338357e+17,0.5605588000034913
107,LGBM,10943516.643530555,3308.0986447702185,1913.6624049921354,0.9233383195525807,3.491507948522886e+17,0.278497000108473
108,Ada Boost,17450033.937829398,4177.323776992801,3039.5279190758265,0.8862773565940206,1.7648629390550548e+18,2.6875257999636233
109,Bagging,11017915.583962655,3319.3245674327563,1696.1960151293104,0.9281957565528938,9745790305405556.0,1.6665883999085054
110,Boosting,8877301.257175112,2979.4800313435753,1527.7263586536224,0.942146234851234,2.5317094308325293e+17,5.747317400062457
111,Random Forest,9816245.91654156,3133.088877855456,1593.3591690890798,0.9360270909541213,8572441825262986.0,15.224868500023149
112,XGBoost,12097480.94454099,3478.1433185740048,2062.813796742966,0.9211601813229598,8.370853936591916e+17,0.5686005000025034
113,LGBM,9178289.019520665,3029.5691144980774,1712.0115557287413,0.9401846842841269,6.837241106635894e+17,0.3238013000227511
114,Ada Boost,13202252.69280305,3633.490428335136,2278.188169835975,0.9116528207123573,5.513520788827144e+17,1.4165532999904826
115,Bagging,10747707.78822006,3278.3696844956426,1671.0920414311593,0.928078208394338,5569683490879713.0,2.1990288998931646
116,Boosting,9273294.280277094,3045.2084132743844,1526.342235254921,0.9379447272045232,1.687064037490207e+17,6.892711300053634
117,Random Forest,10118644.768155243,3180.9817302454353,1625.147714922101,0.9322877887371827,6452347171897795.0,19.47079379996285
118,XGBoost,10936764.052315522,3307.0778721275256,1746.4213509079714,0.9268130767499029,4.284238635486204e+17,0.5975713999941945
119,LGBM,9306079.45654725,3050.586739718648,1560.2128326947454,0.9377253345059199,1.3035367955944581e+17,0.2738987000193447
120,Ada Boost,13753416.525718354,3708.5598991681873,2226.228204108233,0.9034279276651701,3.475600475936896e+17,0.8376854000380263
121,Bagging,13261770.086276844,3641.6713314461595,1938.9043860119043,0.9068801110135128,1639554209342677.0,2.0155738999601454
122,Boosting,10532015.213300046,3245.3066439552435,1757.7832224422586,0.9260475727534023,1.8008084818036698e+17,5.153336900053546
123,Random Forest,11881396.679970527,3446.940190947694,1843.8476414821428,0.9165726496051867,2993244147995012.0,14.129706300096586
124,XGBoost,13899001.719340796,3728.1364941939555,2460.4475210413616,0.9024056752071647,2.0984134304631795e+18,0.5458289999514818
125,LGBM,10610876.76684604,3257.434077129734,1859.8153760261443,0.9254938322599592,7.582343915511625e+17,0.2559449999826029
126,Ada Boost,15449106.477968963,3930.5351388798144,2637.1181226465433,0.8983548386984015,7.488891939351704e+17,1.895402800058946
127,Bagging,11026912.887186602,3320.679582131736,1668.272026125,0.9274500217423507,8352653403248358.0,1.7537793000228703
128,Boosting,9102018.318547677,3016.9551402942134,1606.825181514723,0.9401145871136158,6.16093774639055e+17,5.500180999981239
129,Random Forest,10390165.24791705,3223.3779250837233,1637.23505825,0.9316394107270316,1.0790288031832568e+16,15.710263699991629
130,XGBoost,13272691.567441802,3643.1705377928442,2194.4921825675715,0.9126742457757757,6.130033733243008e+17,0.5074319000123069
131,LGBM,9397612.76236781,3065.552603099123,1783.3915993926003,0.9381697662293271,7.14354594479689e+17,0.2733095999574289
132,Ada Boost,15682490.567982066,3960.1124438558645,2580.8290342640717,0.8898825894868077,7.74356287823352e+17,1.8662948999553919
133,Bagging,12914012.952508396,3593.60723403496,1776.8867355952382,0.9093219498841993,2214544589982045.0,1.5563034999649972
134,Boosting,10673054.070839766,3266.9640449260787,1780.5359846400395,0.9250572432067854,1.800808481803679e+17,5.064614800037816
135,Random Forest,12454540.145165626,3529.0990557315936,1836.4019815000006,0.9125482203242473,3145588082768589.5,13.41736119997222
136,XGBoost,13899001.719340796,3728.1364941939555,2460.4475210413616,0.9024056752071647,2.0984134304631795e+18,0.6179403000278398
137,LGBM,10610876.76684604,3257.434077129734,1859.8153760261443,0.9254938322599592,7.582343915511625e+17,0.38455550000071526
138,Ada Boost,17405559.358530663,4171.997046802726,2948.550115799517,0.8755608429327789,1.7998367424151096e+18,2.8204519000137225
