,split_data,alpha,warm_start,selection,fit_intercept,score,mae,rmse,r2,mape,residuales,time
1969,3,0.0005,True,cyclic,False,-2.190778203256395,0.11707930016183994,0.14767760216818626,-2.190778203256395,0.27096693033855335,"[-0.01289844 -0.01008096 -0.00313157 ... -0.15060728 -0.1547363
 -0.15886533]",0.01351680001243949
1970,3,0.0005,True,random,True,-0.06690037248753078,0.05160064533015629,0.0853941769752453,-0.06690037248753078,0.12489262915392861,"[ 0.01923844  0.01024021  0.01131991 ... -0.04327585 -0.04307584
 -0.04287583]",0.01304119999986142
1971,3,0.0005,True,random,False,-2.1868135006039693,0.11696472898431998,0.14758582521999097,-2.1868135006039693,0.27071308017198215,"[-0.01222887 -0.00941953 -0.00271221 ... -0.14970295 -0.15383697
 -0.15797099]",0.04342569998698309
1972,3,0.0005,False,cyclic,True,-0.06688582515565855,0.051599695905585365,0.08539359479264463,-0.06688582515565855,0.12489037844810874,"[ 0.01923626  0.01023974  0.01131909 ... -0.04327221 -0.04307215
 -0.0428721 ]",0.014842499978840351
1973,3,0.0005,False,cyclic,False,-2.190778203256395,0.11707930016183994,0.14767760216818626,-2.190778203256395,0.27096693033855335,"[-0.01289844 -0.01008096 -0.00313157 ... -0.15060728 -0.1547363
 -0.15886533]",0.01085570000577718
1974,3,0.0005,False,random,True,-0.06683431178002674,0.05159622653990001,0.08539153320117825,-0.06683431178002674,0.12488231477854847,"[ 0.01923003  0.01023742  0.0113158  ... -0.04326123 -0.04306099
 -0.04286075]",0.012244999990798533
1975,3,0.0005,False,random,False,-2.184427507642041,0.11691042090601537,0.14753056552607524,-2.184427507642041,0.27059044432703594,"[-0.01210072 -0.00924541 -0.00264055 ... -0.14927599 -0.15340964
 -0.15754328]",0.017548799980431795
1976,3,1.0,True,cyclic,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.004242700000759214
1977,3,1.0,True,cyclic,False,-36.49815577714107,0.49946123193082453,0.5062572762923725,-36.49815577714107,1.0,[0.50019936 0.50019936 0.50019936 ... 0.50019936 0.50019936 0.50019936],0.027973400021437556
1978,3,1.0,True,random,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.013085299986414611
1979,3,1.0,True,random,False,-36.49815577714107,0.49946123193082453,0.5062572762923725,-36.49815577714107,1.0,[0.50019936 0.50019936 0.50019936 ... 0.50019936 0.50019936 0.50019936],0.012750199995934963
1980,3,1.0,False,cyclic,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.004118699987884611
1981,3,1.0,False,cyclic,False,-36.49815577714107,0.49946123193082453,0.5062572762923725,-36.49815577714107,1.0,[0.50019936 0.50019936 0.50019936 ... 0.50019936 0.50019936 0.50019936],0.004079099977388978
1982,3,1.0,False,random,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.003939999965950847
1983,3,1.0,False,random,False,-36.49815577714107,0.49946123193082453,0.5062572762923725,-36.49815577714107,1.0,[0.50019936 0.50019936 0.50019936 ... 0.50019936 0.50019936 0.50019936],0.004197600006591529
1984,3,0.1,True,cyclic,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.003968600009102374
1985,3,0.1,True,cyclic,False,-5.180660578221577,0.18786629788877002,0.20553404569869665,-5.180660578221577,0.36919865450652034,[0.18917652 0.20271794 0.20542622 ... 0.19878793 0.19607964 0.19337136],0.01116090000141412
1986,3,0.1,True,random,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.012683300010394305
1987,3,0.1,True,random,False,-5.185719219404295,0.18794560713001976,0.20561813948755775,-5.185719219404295,0.369351360274887,[0.1891421  0.20270398 0.20541635 ... 0.19903483 0.19632246 0.19361008],0.015666200022678822
1988,3,0.1,False,cyclic,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.01509910001186654
1989,3,0.1,False,cyclic,False,-5.180660578221577,0.18786629788877002,0.20553404569869665,-5.180660578221577,0.36919865450652034,[0.18917652 0.20271794 0.20542622 ... 0.19878793 0.19607964 0.19337136],0.010501400043722242
1990,3,0.1,False,random,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.004631100047845393
1991,3,0.1,False,random,False,-5.160306149181395,0.18752737227779534,0.20519532962421988,-5.160306149181395,0.36855095498627777,[0.18908376 0.20258624 0.20528674 ... 0.19806259 0.19536209 0.19266159],0.015205400006379932
1992,3,0.01,True,cyclic,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.004137500014621764
1993,3,0.01,True,cyclic,False,-0.8320754284516632,0.07693089560500704,0.11190203869640365,-0.8320754284516632,0.17024341215952346,[0.03124865 0.05160685 0.05567849 ... 0.02656646 0.02249482 0.01842318],0.005885699996724725
