,model,mse,rmse,mae,r2,mape,time
129,RidgeReg,0.007160794552418121,0.08462147807984756,0.04867556192574652,-0.05125802158335202,0.1218539052553208,0.002349600021261722
130,RF,0.008359346934226805,0.09142946425647919,0.05834123737259885,-0.22721444603330787,0.14095851538318127,6.709911999991164
131,XGBoost,0.010614051222352315,0.10302451757883807,0.06959461861826766,-0.5582218435838922,0.1667326847190701,0.2657562000094913
132,AdaBoost,0.007613958684945084,0.0872580006930315,0.05318082452509981,-0.1177858944228205,0.13188349416830125,0.5245817000395618
133,Bagging,0.009955690737703277,0.09977820772946003,0.0679695893072463,-0.4615696165838745,0.16137256409891323,0.9345251999911852
134,BayesRidge,0.007154652759288174,0.0845851804945061,0.04857475435664088,-0.05035636056689663,0.1216533216908637,0.009602700010873377
135,Boosting,0.007789294161528955,0.08825697797641247,0.05218865151910448,-0.14352644945168835,0.1296807805487037,2.2014109999872744
136,DecisionTree,0.007307585206542783,0.08548441499210709,0.047487130481639175,-0.07280798388326315,0.120341770896229,0.013598899997305125
137,LassoReg,0.006811647810315287,0.08253270751838501,0.03686945118234453,-6.770724205740208e-07,0.0995919398747529,0.0033401999971829355
138,LinearReg,0.007160836818458405,0.08462172781536906,0.04867838834310493,-0.051264226553144665,0.12186463975617332,0.0024487999617122114
139,PLS,0.007161896950846296,0.08462799153262646,0.04868795915709793,-0.05141986189061365,0.12186522463556733,0.014647599949967116
140,PCR,0.00716191528816986,0.0846280998733273,0.04868812692860717,-0.05142255394641149,0.12186524771842917,0.004826400021556765
141,RidgeReg,0.007160794552418121,0.08462147807984756,0.04867556192574652,-0.05125802158335202,0.1218539052553208,0.0020115000079385936
142,RF,0.008242186142268152,0.09078648656197767,0.057893772139626445,-0.2100143683799136,0.13983908579471202,7.75237920001382
143,XGBoost,0.010614051222352315,0.10302451757883807,0.06959461861826766,-0.5582218435838922,0.1667326847190701,0.25671849999343976
144,AdaBoost,0.0075881764866999124,0.08711013997635357,0.05185695173746702,-0.11400087552290872,0.12899718383280456,0.3132795999990776
145,Bagging,0.009989408149516162,0.09994702671673711,0.06718193460433147,-0.4665195839898457,0.1577760702649939,0.6717446999973617
146,BayesRidge,0.007154652759288174,0.0845851804945061,0.04857475435664088,-0.05035636056689663,0.1216533216908637,0.011577799974475056
147,Boosting,0.007631939528954955,0.0873609725733119,0.05130551904404541,-0.1204256163645474,0.12777235255118805,2.388172500010114
148,DecisionTree,0.007307585206542783,0.08548441499210709,0.04748713048163919,-0.07280798388326315,0.120341770896229,0.014150100003462285
149,LassoReg,0.006811647810315287,0.08253270751838501,0.03686945118234453,-6.770724205740208e-07,0.0995919398747529,0.0032550999894738197
150,LinearReg,0.007160836818458405,0.08462172781536906,0.04867838834310493,-0.051264226553144665,0.12186463975617332,0.002830500015988946
151,PLS,0.007161896950846296,0.08462799153262646,0.04868795915709793,-0.05141986189061365,0.12186522463556733,0.019141400000080466
152,PCR,0.00716191528816986,0.0846280998733273,0.04868812692860717,-0.05142255394641149,0.12186524771842917,0.008890099998097867
153,RidgeReg,0.007160794552418121,0.08462147807984756,0.04867556192574652,-0.05125802158335202,0.1218539052553208,0.003685500007122755
154,RF,0.00870374837967351,0.09329388179121667,0.06104817749436162,-0.2777751456205466,0.14664326630303376,7.025204200006556
155,XGBoost,0.010614051222352315,0.10302451757883807,0.06959461861826766,-0.5582218435838922,0.1667326847190701,0.27818950003711507
156,AdaBoost,0.007612990561581536,0.08725245304048211,0.05332853733454774,-0.11764376669602128,0.13177462288954775,0.40768490004120395
157,Bagging,0.010254309636105189,0.10126356519550943,0.06841303703705977,-0.5054090969716181,0.16091325054922948,0.8488837999757379
158,BayesRidge,0.007154652759288174,0.0845851804945061,0.04857475435664088,-0.05035636056689663,0.1216533216908637,0.00786140002310276
159,Boosting,0.007765404294420113,0.0881215313894403,0.052009529971354315,-0.1400192388692747,0.12942576900938818,2.5594274000031874
