,model,mse,rmse,mae,r2,mape,time,i,train,test
1111,LinearReg,0.007539186094762952,0.08682848665480097,0.04971043874766431,0.06252520650314985,0.2117712754681392,0.0057616999838501215,2,3002,3996
1112,BayesRidge,0.0075430448625528924,0.08685070444477058,0.049372069613275504,0.06204538049918096,0.2110601273485083,0.005096699926070869,2,3002,3996
1113,RidgeReg,0.0075366897339913174,0.08681411022403741,0.049582276007551065,0.062835621350252,0.21140999608877753,0.0018979000160470605,2,3002,3996
1114,PLS,0.007548352998184029,0.08688125803753091,0.051561595570013996,0.061385330025283125,0.21448151954752853,0.004949699970893562,2,3002,3996
1115,XGBoost,0.010082115881576887,0.10040973997365438,0.06518127951833336,-0.25368035558350144,0.2367610700846933,0.161374400020577,2,3002,3996
1116,AdaBoost,0.006440870455101874,0.08025503383029549,0.04726579055918171,0.0268708106560428,0.11996479908602636,0.19785110000520945,3,3997,4991
1117,Boosting,0.011059497386887067,0.10516414496817376,0.06862378764970663,-0.6709418085141101,0.14946677925761231,0.7115319999866188,3,3997,4991
1118,DecisionTree,0.006292248741847085,0.07932369596688675,0.03865804158129181,0.049325559334302715,0.10459210647202401,0.005106500000692904,3,3997,4991
1119,LassoReg,0.006620205876537475,0.08136464758442376,0.02997588389664971,-0.00022436762751465444,0.08989448598352959,0.0018873000517487526,3,3997,4991
1120,PCR,0.008486970890961561,0.09212475720978353,0.05955400056178655,-0.28226753832088325,0.15315171114636716,0.005946599994786084,3,3997,4991
1121,Bagging,0.00943335150953861,0.09712544213304056,0.06426849377444394,-0.42525296406209234,0.14928683727554107,0.16579890006687492,3,3997,4991
1122,RF,0.00983443651037259,0.09916872748186592,0.06926094135284741,-0.4858515313582914,0.1578442037516789,1.571333899977617,3,3997,4991
1123,LinearReg,0.1310053857593461,0.36194666148390714,0.2832796015155671,-18.793157731142173,0.6345322847634819,0.005685799987986684,3,3997,4991
1124,BayesRidge,0.006737208635151363,0.08208050094359416,0.047541604359281536,-0.017901916094702264,0.12412788286709134,0.004354100092314184,3,3997,4991
1125,RidgeReg,0.0072959323026588205,0.08541622973802356,0.052632069240586096,-0.10231757286328969,0.1356889370552851,0.0032049999572336674,3,3997,4991
1126,PLS,0.006391354459308949,0.07994594710996267,0.046495247621420335,0.03435201388492626,0.1197622143669125,0.0048287000972777605,3,3997,4991
1127,XGBoost,0.025756544213659707,0.1604884550790483,0.11106641810846814,-2.891468577991144,0.2631347335210024,0.16821979999076575,3,3997,4991
1128,AdaBoost,0.011367679089892738,0.10661931855856488,0.06020827259058576,0.04953414366923292,2122725889946.8152,0.1882590000750497,4,4992,5986
