,model,mse,rmse,mae,r2,mape,time
54,RegresionLineal,0.006925005759147031,0.08321661948881985,0.04552965236479718,0.12008156745408982,402483838144.9652,0.017855899990536273
55,Bagging,0.005473578043595886,0.07398363361984789,0.04153146248893139,0.25063777302138546,342897840675.67175,1.3205300999979954
56,ArbolDecision,0.007182761708922418,0.0847511752657296,0.04007336010838103,0.06363124587605584,395111711799.99066,0.027340899978298694
57,ReforzamientoAda,0.0067131777639033285,0.08193398418179924,0.04406155148859293,0.08571134296121408,0.12460030534028041,0.6056281999917701
58,BayesianRidge,0.006795926460367379,0.08243740935016929,0.04486284183287448,0.10567699852729251,0.691337642836958,0.015675800008466467
59,Gradiente,0.0061130247502279,0.07818583471593751,0.040349801129008524,0.2178912050024695,0.7232506261049866,3.1935642000171356
60,RandomForest,0.004969739143879073,0.07049637681384109,0.03725856117022964,0.31364877746479214,277666309228.32086,11.396324700006517
61,RegresionLineal,0.006830284662155687,0.08264553625063902,0.04510614123339477,0.12440395558605766,0.6845583109954947,0.018889400002080947
62,Bagging,0.005785448467762835,0.07606213557193116,0.04192054671685968,0.2252325493246461,0.5719342286818532,1.4616344000096433
63,ArbolDecision,0.00724199826673994,0.08509993106189886,0.04083496289123074,0.061391414866412086,0.8326772989252765,0.030887899978552014
64,ReforzamientoAda,0.0071805674862215245,0.08473822918979086,0.04913489933291218,0.0576408627429329,0.4621849719870353,0.9727357999945525
65,BayesianRidge,0.006484728393548472,0.08052781130484345,0.04518646297469706,0.1217918286401175,0.2091632375323203,0.017901400016853586
66,Gradiente,0.0058651829721899085,0.07658448258093743,0.039961476265354436,0.20349164498133743,393498022252.7292,2.8428733000182547
67,RandomForest,0.004972715786620764,0.07051748567994157,0.03741079703915235,0.35577028165267743,0.1424167519756896,11.959325200004969
68,RegresionLineal,0.007051234380511169,0.08397162842598188,0.04613168999744571,0.10329827356510357,0.9095599912754576,0.030480199988232926
69,Bagging,0.006035116283629536,0.07768601086186326,0.042803413197677866,0.26502659870725587,0.5237141242234096,1.267501300026197
70,ArbolDecision,0.007220556979913155,0.08497386056848985,0.03983347864112669,0.06830266814859842,1.038308850433088,0.05525800000759773
71,ReforzamientoAda,0.006787395415894638,0.08238565054604254,0.0442039557007489,0.08253100038911554,0.4088783492860841,0.45503979999921285
72,BayesianRidge,0.006857734180770731,0.08281143749972422,0.04545300074769728,0.13087240419896629,0.327297095177421,0.012479900004109368
73,Gradiente,0.005969328624326367,0.07726143037975913,0.039490562264683705,0.188509633805374,0.6176137393719007,3.2462371999863535
74,RandomForest,0.005049272618197051,0.07105823399295152,0.03762832881355837,0.31014160157729787,0.22452000992346766,13.59712180000497
75,RegresionLineal,0.006697319417086404,0.08183715181435876,0.04466451255538877,0.12736053725316776,0.44635335871462073,0.02311289997305721
76,Bagging,0.005766998507536976,0.07594075656415977,0.041620524062143345,0.2698469819391113,117527163847.59721,1.441686900012428
77,ArbolDecision,0.0069051996797202695,0.08309753112891062,0.03967985739329885,0.06824444204533764,0.11708942581714804,0.027062700013630092
78,ReforzamientoAda,0.0072545927004235705,0.08517389682539817,0.04350768930322877,0.08802491969682691,0.2864075150895094,0.5863124000024982
79,BayesianRidge,0.0068294736302896815,0.08264062941610308,0.04513716390986745,0.09269810707732129,1.0241125973176866,0.011375100002624094
80,Gradiente,0.006129838361690009,0.07829328426940595,0.04027435895816673,0.20872793775831944,0.5369358337449319,2.8776249999937136
