,model,mape,mae,time
144,Boosting,0.5326046539219682,0.03912734699384181,3.896676199976355
11,AdaBoost,0.5344883726252297,0.04512551495685662,1.440056400024332
283,BayesRidge,0.5375740666897055,0.046152543166117374,0.027480600052513182
284,RidgeReg,0.5376812855889543,0.046193028441191525,0.0056951999431476
282,LinearReg,0.5377291286025823,0.046202398898235936,0.030975100002251565
285,PLS,0.5378446473872722,0.046179299495298726,0.0202300000237301
115,Bagging,0.537999038870873,0.042777647273418914,2.093242600094527
325,RF,0.5415092173621968,0.03832037138586595,21.071550599997863
279,PCR,0.544315001893271,0.04469968471860149,0.038820200017653406
286,AdaBoost,0.5453832881289193,0.04402151305821576,0.7345176000380889
287,Boosting,0.5480462354527701,0.040529707856259194,4.458981900010258
83,RF,0.5504470999950715,0.037991083120280676,21.286883599939756
289,LassoReg,0.5510682036967507,0.04001524275086863,0.006171600078232586
288,DecisionTree,0.5512067503121657,0.040346678951035234,0.022155600017867982
145,DecisionTree,0.5597559298969264,0.03892485935402809,0.021513500018045306
293,LinearReg,0.5611652776499686,0.045634232985557945,0.031240300042554736
294,BayesRidge,0.5611688223645628,0.04559538404103222,0.01947109994944185
295,RidgeReg,0.5611694682575172,0.045627966805767695,0.013662399956956506
146,LassoReg,0.5613030245201566,0.03823678875945549,0.007380799972452223
296,PLS,0.5617154753827649,0.04562450321416459,0.02128879993688315
153,PLS,0.5621393781833254,0.044097655195649274,0.023760800017043948
248,RF,0.5623029327566179,0.039087439835476336,17.476212100009434
177,Boosting,0.5643396163284579,0.041396372615597456,3.81813869997859
151,BayesRidge,0.5656839645370362,0.04408256516935578,0.015799300046637654
152,RidgeReg,0.5661193092360828,0.044110871844953714,0.00512490002438426
150,LinearReg,0.5662306904341831,0.044116491327434594,0.023260199930518866
147,PCR,0.5667280384580546,0.04333911970170569,0.032964800018817186
290,PCR,0.5715093694540083,0.04505737145713811,0.037538900040090084
94,RF,0.5752270603798298,0.03846578974384121,19.06888939999044
178,DecisionTree,0.57626490000704,0.0421048407275429,0.021318200044333935
179,LassoReg,0.5768020634905845,0.04088941144606443,0.008883400005288422
184,BayesRidge,0.5861163671240242,0.04630979016909566,0.013662399956956506
185,RidgeReg,0.5861229509919423,0.046340771231076314,0.005046200007200241
183,LinearReg,0.5861295815013801,0.0463461555362649,0.020895299967378378
186,PLS,0.5866124321163613,0.04628366840743344,0.026429999968968332
180,PCR,0.597436756323531,0.0460928624592853,0.044695100048556924
12,Boosting,0.6041003419821197,0.04101249739631621,3.9057849999517202
13,DecisionTree,0.609355007317832,0.04158180624366709,0.02102560002822429
